layer,capability,audience,obligation,analog_ok,core_home,impl_owner,existing_schema,status,cite,notes
const-op,Publish and inspect governing Charter (usable public view),public; steward; auditor,class-scaled-must,mixed,Charter,CS-2 §7; CI-3.6,,Explicit,core_05_band_continuity.md#charter; core_05_band_oversight.md#public-oversight-baseline-disclosure; corpus_institutions/ci_03_institutional_design_separation_of_powers.md#ci-36-charter-contents-review-and-formation-template,Class A/B/C Type O instrument. Free online where lawful publication infrastructure exists; paper/notice still usable where digital publish is not the channel.
const-op,Name standing-record opening authority and custodian on the Charter,steward; party; auditor,must,yes,Charter; Standing Record,CI-3.6; Ch.8 §3.7,,Explicit,core_05_band_continuity.md#charter; core_08_standing_assessment.md#37-record-custody-and-opening-authority; corpus_institutions/ci_03_institutional_design_separation_of_powers.md#ci-36-charter-contents-review-and-formation-template,"Surface is the published Charter field, not a separate product."
both,Inspect and challenge System Classification Record,public; party; auditor; forum participant,class-scaled-must,mixed,System Classification Record,CS-3 §7,,Explicit,core_05_band_continuity.md#system-classification-record-constitutional; corpus_systems/cs_03_a_system_classification_machinery.md#cs-3-7-classification-governance-disclosure-and-challenge,Public view is Type O for Class A/B/C; challenge under Article XII-B.
both,Inspect and challenge System Data Types Record,public; party; auditor; forum participant,class-scaled-must,mixed,System Data Types Record,CS-2 §8,,Explicit,core_05_band_continuity.md#system-data-types-record-constitutional; corpus_systems/cs_02_a_information_types_and_handling.md#cs-2-8-system-data-types-record-governance,Usable public view without heroic effort; challenge path named.
both,Inspect and challenge System Certification Record,public; party; auditor; forum participant,class-scaled-must,mixed,System Certification Record,Ch.7 Part B §11–12; CS-5 evidence packages,,Explicit,core_05_band_continuity.md#system-certification-record-constitutional; core_07_b_system_alignment_certification_record_process.md#11-certification-record; core_07_b_system_alignment_certification_record_process.md#12-transparency-auditability-and-contestability,Case file plus public view; stay/limit reliance pending contest.
both,Publish Public Oversight Baseline Disclosure (Type O package),public,class-scaled-must,mixed,Public Oversight Baseline Disclosure,CS-2 §7,,Explicit,core_05_band_oversight.md#public-oversight-baseline-disclosure; corpus_systems/cs_02_a_information_types_and_handling.md#cs-2-7-type-o-baseline-for-class-a-b-c-systems,Paywall of the floor is a failure where lawful online publication exists. Analog-only does not satisfy that online-availability test.
in-scope,Receive Risk Disclosure,party; public; steward,class-scaled-must,yes,Risk Disclosure,CS-2; Ch.7 §11.1,,Explicit,core_05_band_oversight.md#risk-disclosure,Needed-audience communication; full-fidelity analyses may stay audit-accessible.
const-op,Preserve and access evidence for review,auditor; forum participant; party,must,yes,Evidence Preservation,CJS-3.3; CF-15.4,,Explicit,core_05_band_oversight.md#evidence-preservation; corpus_forum/cf_15_standard_records_forms_evidence_artifacts.md#cf-154-evidence-artifact-handling,Physical and digital; chain of custody. Not a product.
in-scope,Reconstruct what a system did (Auditability),auditor; party; public,class-scaled-must,mixed,Auditability,CJS-3.3; Art. XV-A,,Explicit,core_05_band_oversight.md#auditability; core_06_rights_part_c.md#article-xv-a-auditability-and-observable-evidence; corpus_joint_structure/cjs_03u_audit_process.md#cjs-33-how-we-audit,Property of reconstructability; CJS-3.3 owns how/when to audit.
in-scope,Obtain structured or qualified audit access,auditor,class-scaled-must,mixed,Auditability; Transparency,CS-2 §5.3; CJS-3.3/3.4,,Explicit,corpus_systems/cs_02_a_information_types_and_handling.md#53-tiered-transparency-and-audit-access,"Non-public is not unreviewable secrecy. Parallel to Type O, not a substitute for it."
in-scope,"Challenge, review, and obtain redress (entry)",ordinary sentient; party,must,yes,Contestability,Art. XII-B; CF intake,,Explicit,core_05_band_accountability.md#contestability; core_06_rights_part_c.md#article-xii-b-right-to-challenge-review-and-redress,Workable path. Analog hearings/notices satisfy; digital is usual but not mandated except where the system already uses digital channels for comparable acts.
const-op,File a protected report (whistleblowing),ordinary sentient; steward,must,yes,Protected Reporting (Whistleblowing),Art. XII-B; CI protected-reporting offices,,Explicit,core_05_band_accountability.md#protected-reporting-whistleblowing; core_06_rights_part_c.md#article-xii-b-right-to-challenge-review-and-redress,Must not be defeated by access interference. Channel may be analog.
const-op,Receive notice when a standing record opens,ordinary sentient (subject),must,yes,Standing Record,Ch.8 §2.1 / §3.7,,Explicit,core_08_standing_assessment.md#21-silence-is-the-default; core_08_standing_assessment.md#37-record-custody-and-opening-authority,Subject must know; delayed notice only on documented Safety/Evidence showing. Silence is the default: do not invent a mandatory standing portal for people with no record.
