Principle,Title,Accessibility,Accountability,"Accountability, contestability, and redress pathways",Adjudication and Dispute Resolution,"Adversarial, Scaled, and Exploited Conditions","Agency, consent, and anti-coercion",Anti-Displacement Floor,Assembly,"Assembly, collective organization, and institutional formation",Avoidable Burden,Best-Interest Standard,Bodily-Maintenance Access,Burden-Reduction Duty,Business Creation,Capability Requirement,Capture of Resolution Pathways,Cascading Failure,Classification-Scaled Governance,Clusters A-Z,Coercion and Manipulation,Collective Accountability Failure,Collective Organization,"Community-anchored continuity: indigenous, language, culture, and heritage",Concentration Threshold,Consent,"Consent, Sexual",Constitutional Community,Constitutional Contract Layer,Constitutional Efficiency,Constitutional Emergency and Contingency,"Constitutional efficiency, productive capacity, avoidable burden, and burden-reduction duty",Contestability,Contingent Claim,Decentralization,Definitions A-Z,Dependency,Derived Sentient,Developing Sentient,Dignity and Equal Moral Standing,Ecological Footprint,Ecological Integrity,"Ecological integrity, footprint, and sustainability",Emergency Pre-Deliberation Action (Binding Collective Choice),Emergency and Contingency,Emergency and contingency,Environmental Preconditions,Essential-Environment Non-Commodification,Event-Contract Market,Existential Risk,"Fairness, protected characteristics, and nondiscrimination",Family and Care Relationships,"Family, care, reproductive autonomy, and instantiation",Feasibility,Force Majeure,Foundational Constitutional Choice,Freedom (Bounded Agency),Game of Chance,Good Faith,Governance,"Governance architecture, decentralization, and concentration",Graduated Capability,Harm Minimization (Tradeoff Selection),Incentive Alignment,Indigenous Continuity,Info-Sphere,Innovation Reward and Anti-Enclosure,Instantiation Consent,Intergenerational Responsibility,"Language, Culture, and Heritage",Lifespan Equivalent Unit (LEQU),Material,Material Degradation,Material Impact,Material Risk,Materiality Determination,Materiality Integrity Constraint,Materiality Under Uncertainty,"Materiality, impact, risk, and proxy integrity",Meaningful Agency,Movement and Relocation,"Movement, refuge, and non-statelessness",Natural Systems Standing,Necessity,Negligence,Non-Imposition (Cooperative Interaction),Non-Separation,Non-Statelessness,Oversight,Parent-System Relationship,Press and Journalistic Activity,Procedural Fairness,Productive Capacity,Proportionality,Protected Characteristic Proxying and Disparate Impact,Protected Characteristics,Protected Commercial Sexual Services Status and Article X-C Circumvention,Protected Intimate-Signal Gating,Protected Reporting (Whistleblowing),Protected Reporting Retaliation and Access Interference,Protected reporting and anti-retaliation,Proxy Divergence,Proxy Metric Gaming and Indicator-Reality Gaps,Redress and Remediation,Refuge from Non-Compliance,Reproductive Autonomy,Residual Risk / Misalignment,Restorative Justice,Reversibility,Review and Correction Duty,Risk,Risk Evaluation and Disclosure,Safety (Constraint),Self-Healing,Stakeholder,Stakeholder Emergency and Contingency,Stakeholder Participation Weight,Stakeholder status and participation weight,Stewardship Defect,"Stewardship, review, and correction",Strategic Stewardship Obligation,Substantive Fairness,"Survival-floor continuity: bodily maintenance, tenure, and environment",Sustainability,System,System Boundaries,System Boundary Integrity,System Capture,System Creation,"System boundaries, integrity, and exit",Systemic,Systemic Lock-In,Systemic Materiality,Tenure Security,Wellbeing
1,Purpose and Role,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Interpretive Role,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,✓,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,
2,Foundational Objective: Wellbeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,✓,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,✓,,,✓,✓,,,,,,✓,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,✓
3,Non-Negotiable Constraints: Safety and Truth,✓,,,,,,,,,✓,,,,,,,,✓,,,,,,,,,,,,,,✓,,,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,✓,,,,,,,,,,,,,,,,,,,,,,
4,System Stability Enabler: Trust (Coordination Integrity),,,,,,,,,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,✓,✓,,,,,,,,,,,,,,,,,,,,,
5,Shared-System Capacity and Stewardship,✓,,,,,,,,,✓,,,,,,,,,,,,,,,,,,,✓,,,✓,,,,✓,,,✓,,✓,,,,,✓,,,,,,,✓,,,,,,,,,,,,,,,✓,,,,,,,,,,,✓,,,,✓,,,,,,,,,✓,✓,,,,,,,,✓,,,,,,,,,,,✓,,,,,,,,✓,,,,,,,,,,,,,,✓
6,Interaction and Conflict Resolution,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,✓,,,,✓,,,✓,,,,,,✓,,,,,,,,,,,,,,,,,,,,,✓,,,,,✓,,,,,✓,,,,,,,,✓,,,,,,,✓,,✓,,✓,,,,,,,,,,,,,,,,,,,✓,,,✓
7,Systemic Evaluation Requirement,,✓,,,,,,,,✓,,,,,,✓,✓,,,✓,,,,,,,,,✓,,,✓,✓,,,✓,,,,,,,,,,,,✓,✓,,,,,,,,✓,,,,,,✓,,,,,,,,,,,,,,,,✓,,,,✓,,,,,✓,,,,✓,✓,,,,,,,,✓,,,,,✓,,,,✓,,✓,,,,,,,,,,,,,✓,✓,✓,,,✓,,,,
8,Freedom (Bounded Agency),,,,,,,,✓,,,,,,✓,,,,,,✓,,✓,,,✓,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,✓,,,✓,,,,,,✓,,,,,,,,,,,,,,,,,✓,,,,✓,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,
9,Prohibition on Absolute Override,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,✓,,,,,,,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
