article_id,title,family,file,line,direct_ch1_refs,inferred_ch1_basis,tetrad_terms,aims,material_signals,measurement_families,owner_refs,status
I,Environmental Survival,survival/resources,core_06-06_rights_part_a.md,116,2; 3.1; 3.2; 6; 10; linked,2; 3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake,Wellbeing; Safety / Harm / Risk; Survival-floor access; Avoidable Burden; Productive Capacity; Ecological Footprint / Environmental Preconditions; Truth / Epistemic Integrity,Article I; Chapter Five; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05c_continuity_definitions.md,manual_review
I-A,Environmental Preconditions and Ecological Integrity,survival/resources,core_06-06_rights_part_a.md,143,3; 4.1; 6.3.1; linked,2; 3.1; 3.2; 6.1; 6.2; 6.3; 7; 8,participation,continuity,,Wellbeing; Safety / Harm / Risk; Avoidable Burden; Ecological Footprint / Environmental Preconditions,Article V-E; Chapter Five; Chapter One; Chapter Seven; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05c_continuity_definitions.md; core_05p_participation_definitions.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation; core_13-15_amendment.md,complete
I-B,Ecological Footprint and Transparency,survival/resources,core_06-06_rights_part_a.md,180,4.2; 9.2; linked,2; 3.1; 3.2; 6.2; 7; 8; 11; 12; 13,oversight,continuity,material impact,Survival-floor access; Avoidable Burden; Ecological Footprint / Environmental Preconditions; Dependency / Resource Flow; Accessibility; Truth / Epistemic Integrity; Privacy / Data Stewardship,Article I; Article I-B; Article XV-C; Chapter Five; Chapter One; Chapter Seven; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05c_continuity_definitions.md; core_05o_oversight_definitions.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation,complete
I-C,Intergenerational Responsibility,survival/resources,core_06-06_rights_part_a.md,207,3; 4.1; 8.16; 8.21; 9; linked,2; 3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 11; 12; 13,participation; oversight,continuity,materiality,Wellbeing; Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Ecological Footprint / Environmental Preconditions; Truth / Epistemic Integrity,Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05c_continuity_definitions.md; core_05o_oversight_definitions.md; core_05p_participation_definitions.md,complete
I-D,Existential Risk and Ecological Recovery Capacity,survival/resources,core_06-06_rights_part_a.md,237,4.1; 9; 10.1; linked,2; 3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,oversight,continuity,,Safety / Harm / Risk; Survival-floor access; Avoidable Burden; Productive Capacity; Ecological Footprint / Environmental Preconditions; Resilience / Systemic Risk; Dependency / Resource Flow; Truth / Epistemic Integrity; Market Structure / Contestability; Timely Resolution,Article XXIII-D; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05c_continuity_definitions.md; core_05o_oversight_definitions.md,complete
II,Material Stewardship and Durable-Use Integrity,survival/resources,core_06-06_rights_part_a.md,278,2; 3.1; 3.2; 9; 9.2; linked,2; 3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake; materiality,Wellbeing; Safety / Harm / Risk; Survival-floor access; Avoidable Burden; Productive Capacity; Ecological Footprint / Environmental Preconditions; Truth / Epistemic Integrity; Privacy / Data Stewardship,Article I; Article II; Article II-A; Chapter Five; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; corpus_institutions.md; corpus_systems.md,manual_review
II-A,Material Stewardship and Lifecycle Honesty,survival/resources,core_06-06_rights_part_a.md,315,4.2; 10.1; linked,3.2; 4; 6.2; 7; 8; 9; 9.2; 10.2,oversight,continuity,materiality,Ecological Footprint / Environmental Preconditions; Accessibility; Truth / Epistemic Integrity; Privacy / Data Stewardship; Trustworthiness,Article I-B; Article I-C; Article XII; Article XII-C; Chapter Five; Chapter One; Chapter Seven; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05c_continuity_definitions.md; core_05o_oversight_definitions.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation,complete
II-B,"Repair, Maintenance, and Independent Servicing",survival/resources,core_06-06_rights_part_a.md,348,4.1; 4.2; 10.1; linked,3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 10; 10.2; 11; 12; 13,accountability,continuity,,Safety / Harm / Risk; Dependency / Resource Flow; Truth / Epistemic Integrity,Article XII-D; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md,complete
II-C,Designed Obsolescence and Incentive Discipline,survival/resources,core_06-06_rights_part_a.md,381,4.1; 10; 10.1; 11; linked,3.1; 6.1; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,oversight; accountability,,,Safety / Harm / Risk; Productive Capacity; Incentive Alignment / Proxy Integrity,Article XII-D; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md; core_05i_integrative_definitions.md; core_05o_oversight_definitions.md,complete
II-D,Post-Sale Access and Subscription Integrity,survival/resources,core_06-06_rights_part_a.md,411,4.2; 5; 10; linked,3.1; 3.2; 4; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; oversight; accountability,continuity,,Safety / Harm / Risk; Productive Capacity; Dependency / Resource Flow; Truth / Epistemic Integrity; Trustworthiness,Article IX-B; Article XII-C; Article XII-D; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_05i_integrative_definitions.md; core_05o_oversight_definitions.md; core_05p_participation_definitions.md,complete
