cluster_id,cluster_title,file,start_line,end_line,inferred_ch1_principles,direct_ch1_refs,read_with_refs,owner_refs,op_rule_count,op_complete,status
CJS-5.0,Role-definition preface and standing competency gate interface,corpus_joint_structure/cjs_05_cross_implementation_operational_terms.md,7,74,2.1; 3.4; 5.2; 7.1; 7.2; 10,,,Article XI-D; CI; Chapter Eleven; Chapter Seven; core_07-07_standing_integration.md; core_11-11_governance.md; corpus_forum.md; corpus_institutions.md; corpus_systems.md,10,yes,weak_trace
CJS-5.2,Implementation and cross-implementation distributed and proportional authority terms,corpus_joint_structure/cjs_05a_00_authority_constraint_secrecy_procedure.md,16,73,2.1; 4; 5.2; 7.2; 10,,"**PROT1 — Distributed and Proportional Authority** | **PRIM4 — Transparency and Disclosure** | **PRIM9 — Auditability** | **PRIM15 — Evolution, Revalidation, and Non-Entrenchment** | **PROT6 — Procedural Integrity and Adjudication** | `corpus_systems.md` **Chapter S3**",CI; PRIM15; PRIM4; PRIM9; PROT1; PROT6; corpus_systems.md,9,yes,weak_trace
CJS-5.3,Implementation and cross-implementation intervention governance and override-authorization terms,corpus_joint_structure/cjs_05a_00_authority_constraint_secrecy_procedure.md,74,122,3.1; 6.1; 6.4; 7.1; 9,,"**PROT2 — Intervention and Override Rights** | **PRIM8 — Intervention and Override Rights** | **PROT1 — Distributed and Proportional Authority** | **PROT4 — Burden of Justification and Constraint** | **PROT5 — Constrained Secrecy and Protected Investigations** | **PRIM9 — Auditability** | **PRIM15 — Evolution, Revalidation, and Non-Entrenchment**",CF; PRIM15; PRIM8; PRIM9; PROT1; PROT2; PROT4; PROT5,7,yes,weak_trace
CJS-5.4,Implementation and cross-implementation reflexive transparency and accountability terms,corpus_joint_structure/cjs_05a_00_authority_constraint_secrecy_procedure.md,123,184,3.2; 4; 5.2; 7.1; 7.2,,"**PROT3 — Reflexive Transparency and Accountability** | **PRIM4 — Transparency and Disclosure** | **PRIM9 — Auditability** | **PRIM10 — Tiered Transparency and Audit Access** | **PRIM11 — Independent Verification and Integrity of Claims** | **PRIM15 — Evolution, Revalidation, and Non-Entrenchment** | **PROT1 — Distributed and Proportional Authority** | **PROT4 — Burden of Justification and Constraint** | **PROT5 — Constrained Secrecy and Protected Investigations** | **PROT6 — Procedural Integrity and Adjudication**",PRIM10; PRIM11; PRIM15; PRIM4; PRIM9; PROT1; PROT3; PROT4; PROT5; PROT6,9,yes,weak_trace
CJS-5.5,Implementation and cross-implementation burden-of-justification and constraint terms,corpus_joint_structure/cjs_05a_00_authority_constraint_secrecy_procedure.md,185,235,6.1; 6.3; 6.4; 7.1; 8; 9,6.4.1,"**PROT4 — Burden of Justification and Constraint** | **PROT1 — Distributed and Proportional Authority** | **PRIM4 — Transparency and Disclosure** | **PRIM7 — Interoperability, Portability, and Exit Integrity** | **PRIM9 — Auditability** | **PRIM15 — Evolution, Revalidation, and Non-Entrenchment** | **Chapter One §6.4.1 — Rights-Collision Decision Test** | **`corpus_forum.md` CF-12 — Forum continuity, fallback operation, and emergency adjudication** | Core definitions for necessity, proportionality, materiality, burden, and anti-enclosure.",CF; Core definitions; PRIM15; PRIM4; PRIM7; PRIM9; PROT1; PROT4; corpus_forum.md,7,yes,complete
CJS-5.6,Implementation and cross-implementation constrained-secrecy and protected-investigation terms,corpus_joint_structure/cjs_05a_00_authority_constraint_secrecy_procedure.md,236,280,3.2; 6.2; 6.4; 7.1; 8; 9,,"**PROT5 — Constrained Secrecy and Protected Investigations** | **PROT4 — Burden of Justification and Constraint** | **PROT3 — Reflexive Transparency and Accountability** | **PROT1 — Distributed and Proportional Authority** | **PRIM4 — Transparency and Disclosure** | **PRIM9 — Auditability** | **PRIM15 — Evolution, Revalidation, and Non-Entrenchment** | **PROT6 — Procedural Integrity and Adjudication**",PRIM15; PRIM4; PRIM9; PROT1; PROT3; PROT4; PROT5; PROT6,6,yes,weak_trace
CJS-5.7,Implementation and cross-implementation procedural integrity and adjudication terms,corpus_joint_structure/cjs_05a_00_authority_constraint_secrecy_procedure.md,281,355,2.1; 3.4; 6.4; 7.1; 8; 10,,**PROT6 — Procedural Integrity and Adjudication** | **PROT4 — Burden of Justification and Constraint** | **PROT3 — Reflexive Transparency and Accountability** | **PROT2 — Intervention and Override Rights** | `corpus_systems.md` **Chapter S1** and **Chapter S2** | `corpus_institutions.md` | `corpus_forum.md`,PROT2; PROT3; PROT4; PROT6; corpus_forum.md; corpus_institutions.md; corpus_systems.md,12,yes,weak_trace
CJS-5.8,Implementation and cross-implementation integrity assurance and resilience operations,corpus_joint_structure/cjs_05b_00_evidence_audit_claim_integrity.md,14,46,3.1; 3.2; 4.1; 7.1; 7.2,,"Core definitions for auditability, verifiability, reversibility, dependency, cascading failure, adversarial conditions, and trustworthiness.",Core definitions,5,yes,weak_trace
CJS-5.9,Implementation and cross-implementation auditability and reconstructability terms,corpus_joint_structure/cjs_05b_00_evidence_audit_claim_integrity.md,47,83,3.2; 4; 7.1; 7.2,,**PRIM9 — Auditability** | **PRIM4 — Transparency and Disclosure** | **PRIM10 — Tiered Transparency and Audit Access** | **Article XV-A** | **Article VII-B**,Article VII-B; Article XV-A; PRIM10; PRIM4; PRIM9,5,yes,weak_trace
CJS-5.10,Implementation and cross-implementation tiered transparency and audit-access terms,corpus_joint_structure/cjs_05b_00_evidence_audit_claim_integrity.md,84,132,3.2; 6.2; 6.4; 7.1; 8,6.4.1,"**PRIM10 — Tiered Transparency and Audit Access** | **PRIM9 — Auditability** | **PRIM12 — Reversibility and Containment** | **Chapter One §6.4.1 — Rights-Collision Decision Test** | **`corpus_forum.md` CF-12 — Forum continuity, fallback operation, and emergency adjudication** | **Article XV-A** | **Article VII-B**",Article VII-B; Article XV-A; CF; PRIM10; PRIM12; PRIM9; corpus_forum.md; corpus_systems.md,7,yes,complete
