layer,home,kind,types,status,cite,notes
ch5-artifact,Charter,Published Charter (scope instrument) / usable public view,O,Explicit,core_05_band_oversight.md#public-oversight-baseline-disclosure; corpus_systems/cs_02_b_data_classifications.md#type-o-open-public-baseline-disclosure-data,Class A/B/C Type O instruments include the governing Charter at public-baseline fidelity.
ch5-artifact,Charter,Charter source instrument (full file),O; G; H; I,Inferred,core_05_band_continuity.md#charter; corpus_systems/cs_02_b_data_classifications.md#82-type-g-governance-and-operational-source-data,"Operator default: the Charter source instrument is Type O, not Type G. Unpublished working papers that are not yet the Charter may remain G. G/H/I hold-backs only for justified security or privacy concerns."
ch5-artifact,System Certification Record,Usable public view of the System Certification Record,O,Explicit,core_05_band_oversight.md#public-oversight-baseline-disclosure; corpus_systems/cs_02_b_data_classifications.md#type-o-open-public-baseline-disclosure-data,
ch5-artifact,System Certification Record,Full System Certification Record source (forum-supervised case file),O; G; H; I,Inferred,core_05_band_continuity.md#system-certification-record-constitutional; corpus_systems/cs_02_b_data_classifications.md#82-type-g-governance-and-operational-source-data,"Operator default Type O (open band). Retype portions to G, H, or I only for justified security or privacy hold-backs under CS-2.2 most-restrictive and CS-2.7 / Part A §5.3; S where exploit- or investigation-sensitive. Home has no type letter for the source file; public view is already Explicit O."
ch5-artifact,System Classification Record,Usable public view of the System Classification Record,O,Explicit,core_05_band_oversight.md#public-oversight-baseline-disclosure; corpus_systems/cs_02_b_data_classifications.md#type-o-open-public-baseline-disclosure-data,
ch5-artifact,System Classification Record,Full System Classification Record source,O; G; H; I,Inferred,core_05_band_continuity.md#system-classification-record-constitutional,"Operator default Type O (open band). Retype portions to G, H, or I only for justified security or privacy hold-backs under CS-2.2 most-restrictive and CS-2.7 / Part A §5.3; S where exploit- or investigation-sensitive. Home has no type letter for the source file; public view is already Explicit O."
ch5-artifact,System Data Types Record,Usable public view of the System Data Types Record,O,Explicit,core_05_band_oversight.md#public-oversight-baseline-disclosure; corpus_systems/cs_02_a_information_types_and_handling.md#cs-2-8-system-data-types-record-governance,
ch5-artifact,System Data Types Record,System Data Types Record as material audited information (source file),O; G; H; I,Inferred,core_05_band_continuity.md#system-data-types-record-constitutional,"Operator default Type O (open band). Retype portions to G, H, or I only for justified security or privacy hold-backs under CS-2.2 most-restrictive and CS-2.7 / Part A §5.3; S where exploit- or investigation-sensitive. Named as material audited information; public view is already Explicit O."
ch5-artifact,Forum Case Record,"Forum case file (claims, evidence, routing, orders, findings)",O; G; H; I; S,Inferred,core_05_band_accountability.md#forum-case-record,"Operator default Type O (open band). Retype portions to G, H, or I only for justified security or privacy hold-backs under CS-2.2 most-restrictive and CS-2.7 / Part A §5.3; S where exploit- or investigation-sensitive. Identity-bearing fields may be I; restricted evidence may be S."
ch5-artifact,Standing Record,Axis-pure contribution or violation standing record,O; G; H; I,Inferred,core_05_band_accountability.md#standing-record-chapter-six,"Operator default Type O (open band). Retype portions to G, H, or I only for justified security or privacy hold-backs under CS-2.2 most-restrictive and CS-2.7 / Part A §5.3; S where exploit- or investigation-sensitive. Subject-identifying fields may be I. Not a Forum Case Record."
