file,section_id,title,start_line,end_line,score,confidence,action,destinations,signals,router_rows,summary
corpus_institutions/ci_15_vulnerable_personal_services_markets_article_xc_interface.md,CI-15,Vulnerable personal services markets — general regulation and Article X-C interface,1,36,10,medium,split-CI-and-CJS,CJS-5B; CJS-5D; CJS-3 / CJS-4,routing-read-with(5); shared-procedure(1); dependency-failure(1),CJS-R17 — Cross-implementation trust integrity (joint operation model); CJS-R19 — Implementation and cross-implementation integrity assurance and resilience operations; CJS-R18 — Class-scaled lane staffing and competency redundancy for materially binding stewardship,"Apply `corpus_joint_structure.md` **CJS-5D.2** **High-vulnerability personal-service pathway integrity** for the shared floor. **CI-15** states only the Article X-C application-file owner duties for authorization, enforcement separation, transition records,..."
corpus_institutions/ci_20_care_labor_dependent_support_respite_care_economy_fairness.md,CI-20,"Care labor, dependent support, respite, and care-economy fairness",1,36,8,medium,replace-with-pointer,CJS-3 / CJS-4,routing-read-with(6),CJS-R17 — Cross-implementation trust integrity (joint operation model); CJS-R19 — Implementation and cross-implementation integrity assurance and resilience operations; CJS-R18 — Class-scaled lane staffing and competency redundancy for materially binding stewardship,"Apply `corpus_joint_structure.md` **CJS-5D.1** **Care, respite, and support-dependency adequacy** for the shared floor. **CI-20** states only local respite, metrics, coercion-intake, and reproductive-labor routing owners. Name the respite pathway owner; **C..."
corpus_institutions/ci_14_transitional_governance_institutional_evolution.md,CI-14.1,"Interface — Article XXV-D (non-compliant property, seizure, voluntary incentives)",34,60,8,medium,replace-with-pointer,CJS-5C; CJS-5A / CJS-4.1 / CJS-4.7; CJS-3 / CJS-4,routing-read-with(3); forum-system-touch(2),CJS-R19 — Implementation and cross-implementation integrity assurance and resilience operations; CJS-R17 — Cross-implementation trust integrity (joint operation model); CJS-R18 — Class-scaled lane staffing and competency redundancy for materially binding stewardship,"Apply `corpus_joint_structure.md` **CJS-5B.1** **Property-custody and incentive-separation control chain** for the shared floor. **CI-14.1** states only the Article XXV-D role map: eligibility owner, custody body, incentive or payout adjudicator, enforcemen..."
corpus_institutions/ci_18_community_life_voluntary_association_non_instrumental_time.md,CI-18,"Community life, voluntary association, and non-instrumental time",1,36,7,medium,replace-with-pointer,CJS-3 / CJS-4,routing-read-with(3); forum-system-touch(1),CJS-R19 — Implementation and cross-implementation integrity assurance and resilience operations; CJS-R17 — Cross-implementation trust integrity (joint operation model); CJS-R18 — Class-scaled lane staffing and competency redundancy for materially binding stewardship,"Apply `corpus_joint_structure.md` **CJS-5C.1** **Community and associational pathway integrity** for the shared floor. **CI-18** states only local stewardship, program, referral, and escalation owner duties. Name the local owner for civic infrastructure, vo..."
corpus_institutions/ci_12_transparency_participation_accessible_pathways.md,CI-12.3,Digital self-service pathway integrity,83,111,7,medium,replace-with-pointer,CJS-3 / CJS-4; CJS-4.4,routing-read-with(4),"CJS-R17 — Cross-implementation trust integrity (joint operation model); CJS-R19 — Implementation and cross-implementation integrity assurance and resilience operations; CJS-R15 — Contest-integrity monitoring (pathway integrity, not merits)","Apply `corpus_joint_structure.md` **CJS-5D.2** **Digital self-service pathway integrity** for the shared floor. **CI-12.3** states only the supervision owner, operator-artifact file, offense-routing interface, and **CI-10.2** billing-interface read-with. ---"
corpus_institutions/ci_05_conflict_integrity_anti_capture_anti_corruption.md,CI-5,"Conflict integrity, anti-capture, and anti-corruption",1,32,7,medium,replace-with-pointer,CJS-5B; CJS-5C; CJS-3 / CJS-4,routing-read-with(3); forum-system-touch(1),"CJS-R19 — Implementation and cross-implementation integrity assurance and resilience operations; CJS-R17 — Cross-implementation trust integrity (joint operation model); CJS-R15 — Contest-integrity monitoring (pathway integrity, not merits)","Apply `corpus_joint_structure.md` **CJS-5B.1** **Shared anti-capture control stack** and **Sortition and civic-lottery integrity controls** for the shared floors. **CI-5** states only institutional control-map ownership, disclosure and cure files, grave-bre..."
corpus_institutions/ci_25_collective_public_health_epidemic_response_addiction_informed_care.md,CI-25,"Collective public health, epidemic response, and addiction-informed care",1,34,6,low,needs-human-review,CJS-5E; CJS-5B; CJS-5A / CJS-4.1 / CJS-4.7,routing-read-with(3),CJS-R17 — Cross-implementation trust integrity (joint operation model); CJS-R19 — Implementation and cross-implementation integrity assurance and resilience operations; CJS-R18 — Class-scaled lane staffing and competency redundancy for materially binding stewardship,"Apply `corpus_joint_structure.md` **CJS-5A.4** **Collective-health and emergency support-bundle floor** for the shared floor. **CI-25** states only the local pathway owner, support-bundle record, addiction-routing owner, stigma-control file, and emergency-s..."
corpus_institutions/ci_10_public_revenue_fees_recurring_charges_billing_integrity.md,CI-10.1,"Public revenue, user fees, and class-aligned burden",29,55,6,low,needs-human-review,CJS-5A / CJS-4.1 / CJS-4.7,routing-read-with(3),CJS-R17 — Cross-implementation trust integrity (joint operation model); CJS-R19 — Implementation and cross-implementation integrity assurance and resilience operations; CJS-R18 — Class-scaled lane staffing and competency redundancy for materially binding stewardship,"Apply `corpus_joint_structure.md` **CJS-5A.4** **Class-aligned revenue and access-burden floor** for the shared floor. **CI-10.1** states only the fiscal-map owner, constrained-capacity priority owner, and **Protocol S5** reporting channel; identify **CI-10..."
corpus_institutions/ci_07_oversight_assurance_controls_evidence.md,CI-7.3,Contest-integrity monitoring (Class A and Class B),91,125,6,low,needs-human-review,CJS-5B; CJS-3 / CJS-4; CJS-5A / CJS-4.1 / CJS-4.7,routing-read-with(2); shared-procedure(1); forum-system-touch(1),"CJS-R19 — Implementation and cross-implementation integrity assurance and resilience operations; CJS-R17 — Cross-implementation trust integrity (joint operation model); CJS-R15 — Contest-integrity monitoring (pathway integrity, not merits)","Apply `corpus_joint_structure.md` **CJS-5B.1** for the shared contest-integrity pathway chain and contest-monitor independence floor. **CI-7.3** states only monitor designation, local monitor file, attestation interface, output duty, security-power file, an..."
corpus_institutions/ci_10_public_revenue_fees_recurring_charges_billing_integrity.md,CI-10.2,"Recurring charges, renewals, and commercial billing integrity",56,88,5,low,needs-human-review,CJS-5D; CJS-5B; CJS-4.4,routing-read-with(2); dependency-failure(1); forum-system-touch(1),CJS-R17 — Cross-implementation trust integrity (joint operation model); CJS-R19 — Implementation and cross-implementation integrity assurance and resilience operations; CJS-R18 — Class-scaled lane staffing and competency redundancy for materially binding stewardship,"Apply `corpus_joint_structure.md` **CJS-5D.2** **Commitment, renewal, and charge-exit integrity** for the shared floor. **CI-10.2** states only the charge-supervision map owner, stricter-law check, reclassification trigger, and **CI-10.1** fiscal-interface..."
